search_ingredient,returned_ingredient,reason
garlic,masterfoods garlic herb salt blend,EXCLUDE hit: ['salt']
garlic,masterfoods garlic salt ,EXCLUDE hit: ['salt']
garlic,masterfoods garlic finely crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,woolworths garlic powder,EXCLUDE hit: ['powder']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just foods garlic & ginger mix crushed,EXCLUDE hit: ['crushed']
garlic,just foods garlic & ginger mix crushed,EXCLUDE hit: ['crushed']
garlic,mrs rogers eco organic garlic powder ,EXCLUDE hit: ['powder']
mixed herbs,gourmet garden fresh vegetable basil lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable parsley lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable coriander lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable chilli lightly dried,INCLUDE ['herb'] missing
mixed herbs,woolworths oregano flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths rosemary flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths thyme flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths parsley flakes,INCLUDE ['herb'] missing
mixed herbs,woolworths basil flaked leaves,INCLUDE ['herb'] missing
mixed herbs,masterfoods onion salt blend,INCLUDE ['herb'] missing
mixed herbs,masterfoods all purpose seasoning blend,INCLUDE ['herb'] missing
beef mince,woolworths beef smash burgers,EXCLUDE hit: ['burger']
beef mince,woolworths beef stacker burgers,EXCLUDE hit: ['burger']
beef mince,woolworths nz beef meatballs ,EXCLUDE hit: ['meatball']
beef mince,woolworths nz beef burgers mini sliders,EXCLUDE hit: ['burger']
beef mince,woolworths nz beef burgers classic,EXCLUDE hit: ['burger']
beef mince,silver fern farms honest beef burgers with smoky caramelized onion,EXCLUDE hit: ['burger']
beef mince,woolworths beef meatballs angus,EXCLUDE hit: ['meatball']
beef mince,woolworths beef & pork meatballs ,EXCLUDE hit: ['meatball']
beef mince,silver fern farms honest beef & lamb burgers with manuka smoked salt,EXCLUDE hit: ['burger']
beef mince,first light meatballs wagyu beef,EXCLUDE hit: ['meatball']
spaghetti pasta,san remo pasta elbow italian no. 35,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta trivelle,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta large spirals no. 53,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta penne no. 18,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta curly fettuccine no. 80,INCLUDE ['spaghetti'] missing
canned tomatoes,watties chopped tomatoes in juice,EXCLUDE hit: ['juice']
canned tomatoes,delmaine crushed tomatoes italian in juice,EXCLUDE hit: ['juice']
canned tomatoes,delmaine whole peeled tomatoes italian in juice,EXCLUDE hit: ['juice']
onion,woolworths onion powder ,EXCLUDE hit: ['powder']
onion,griffin's onion rings sour cream & chives,EXCLUDE hit: ['chips']
onion,mrs rogers eco organic onion powder ,EXCLUDE hit: ['powder']
carrot,original foods carrot cake goofy bar,EXCLUDE hit: ['cake']
carrot,original foods carrot cake walnuts topped,EXCLUDE hit: ['cake']
carrot,woolworths carrot cake ,EXCLUDE hit: ['cake']
carrot,woolworths frozen baby carrots ,EXCLUDE hit: ['frozen']
carrot,"fresh vegetable snack pot carrot, celery sticks & hummus",EXCLUDE hit: ['snack']
carrot,"mccain frozen mixed vegetables peas, corn & carrots",EXCLUDE hit: ['frozen']
carrot,"wattie's frozen mixed vegetables green beans, broccoli, carrots",EXCLUDE hit: ['frozen']
garlic,gourmet garden fresh vegetable garlic paste,EXCLUDE hit: ['paste']
garlic,gourmet garden fresh vegetable garlic paste,EXCLUDE hit: ['paste']
garlic,masterfoods garlic salt ,EXCLUDE hit: ['salt']
garlic,masterfoods garlic & herb salt blend,EXCLUDE hit: ['salt']
garlic,masterfoods garlic herb salt blend,EXCLUDE hit: ['salt']
garlic,masterfoods garlic salt ,EXCLUDE hit: ['salt']
garlic,masterfoods garlic finely crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,woolworths garlic powder,EXCLUDE hit: ['powder']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just foods garlic & ginger mix crushed,EXCLUDE hit: ['crushed']
garlic,just foods garlic & ginger mix crushed,EXCLUDE hit: ['crushed']
garlic,mrs rogers eco organic garlic powder ,EXCLUDE hit: ['powder']
mixed herbs,gourmet garden fresh vegetable basil lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable parsley lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable coriander lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable chilli lightly dried,INCLUDE ['herb'] missing
mixed herbs,woolworths oregano flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths rosemary flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths thyme flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths parsley flakes,INCLUDE ['herb'] missing
mixed herbs,woolworths basil flaked leaves,INCLUDE ['herb'] missing
mixed herbs,masterfoods onion salt blend,INCLUDE ['herb'] missing
mixed herbs,masterfoods all purpose seasoning blend,INCLUDE ['herb'] missing
beef mince,woolworths beef smash burgers,EXCLUDE hit: ['burger']
beef mince,woolworths beef stacker burgers,EXCLUDE hit: ['burger']
beef mince,woolworths value beef burgers,EXCLUDE hit: ['burger']
beef mince,woolworths nz beef meatballs ,EXCLUDE hit: ['meatball']
beef mince,woolworths nz beef burgers mini sliders,EXCLUDE hit: ['burger']
beef mince,woolworths nz beef burgers classic,EXCLUDE hit: ['burger']
beef mince,silver fern farms honest beef burgers with smoky caramelized onion,EXCLUDE hit: ['burger']
beef mince,woolworths beef & pork meatballs ,EXCLUDE hit: ['meatball']
beef mince,silver fern farms honest beef & lamb burgers with manuka smoked salt,EXCLUDE hit: ['burger']
beef mince,first light meatballs wagyu beef,EXCLUDE hit: ['meatball']
spaghetti pasta,san remo pasta elbow italian no. 35,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta trivelle,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta large spirals no. 53,INCLUDE ['spaghetti'] missing
spaghetti pasta,san remo pasta penne no. 18,INCLUDE ['spaghetti'] missing
canned tomatoes,watties chopped tomatoes in juice,EXCLUDE hit: ['juice']
canned tomatoes,delmaine crushed tomatoes italian in juice,EXCLUDE hit: ['juice']
canned tomatoes,delmaine whole peeled tomatoes italian in juice,EXCLUDE hit: ['juice']
onion,woolworths onion powder ,EXCLUDE hit: ['powder']
onion,griffin's onion rings sour cream & chives,EXCLUDE hit: ['chips']
onion,mrs rogers eco organic onion powder ,EXCLUDE hit: ['powder']
carrot,original foods carrot cake goofy bar,EXCLUDE hit: ['cake']
carrot,original foods carrot cake walnuts topped,EXCLUDE hit: ['cake']
carrot,woolworths frozen baby carrots ,EXCLUDE hit: ['frozen']
carrot,"fresh vegetable snack pot carrot, celery sticks & hummus",EXCLUDE hit: ['snack']
carrot,"mccain frozen mixed vegetables peas, corn & carrots",EXCLUDE hit: ['frozen']
carrot,"wattie's frozen mixed vegetables green beans, broccoli, carrots",EXCLUDE hit: ['frozen']
carrot,"wattie's frozen mixed vegetables carrots, peas, beans & corn",EXCLUDE hit: ['frozen']
carrot,"wattie's steam fresh frozen mixed vegetables carrots, broccoli, cauliflower",EXCLUDE hit: ['frozen']
carrot,tasti fruit + vege wholefood snack balls mango & carrot,EXCLUDE hit: ['snack']
garlic,gourmet garden fresh vegetable garlic paste,EXCLUDE hit: ['paste']
garlic,gourmet garden fresh vegetable garlic paste,EXCLUDE hit: ['paste']
garlic,masterfoods garlic salt ,EXCLUDE hit: ['salt']
garlic,masterfoods garlic & herb salt blend,EXCLUDE hit: ['salt']
garlic,masterfoods garlic herb salt blend,EXCLUDE hit: ['salt']
garlic,masterfoods garlic salt ,EXCLUDE hit: ['salt']
garlic,masterfoods garlic finely crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,woolworths garlic powder,EXCLUDE hit: ['powder']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just garlic fresh vegetable garlic crushed,EXCLUDE hit: ['crushed']
garlic,just foods garlic & ginger mix crushed,EXCLUDE hit: ['crushed']
garlic,mrs rogers eco organic garlic powder ,EXCLUDE hit: ['powder']
garlic,just foods crushed garlic & ginger mixed jar,EXCLUDE hit: ['crushed']
mixed herbs,gourmet garden fresh vegetable basil lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable parsley lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable coriander lightly dried,INCLUDE ['herb'] missing
mixed herbs,gourmet garden fresh vegetable chilli lightly dried,INCLUDE ['herb'] missing
mixed herbs,woolworths oregano flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths rosemary flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths thyme flaked leaves,INCLUDE ['herb'] missing
mixed herbs,woolworths parsley flakes,INCLUDE ['herb'] missing
mixed herbs,woolworths basil flaked leaves,INCLUDE ['herb'] missing
mixed herbs,masterfoods onion salt blend,INCLUDE ['herb'] missing
mixed herbs,masterfoods all purpose seasoning blend,INCLUDE ['herb'] missing
